word,sense,a_estimate,ci_lower,ci_upper,ci_width,sig_non_zero,r_sq_LO,freml_LO,dev_exp_LO,r_sq_2D,freml_2D,dev_exp_2D,overall_word_freq,cluster_substitution_total,l2_distance_normalized,peak_year
outstanding,1,-0.0295,-0.0323,-0.0266,0.005700000000000004,True,0.138,3.4936,0.242,0.138,3.4936,0.242,113121,397355,0.005235476320833116,1997
outstanding,2,-0.1935,-0.1961,-0.1909,0.00520000000000001,True,0.132,3.1826,0.233,0.132,3.1831,0.233,113121,436920,0.04903819982265862,1948
outstanding,7,-0.1355,-0.1431,-0.1279,0.015199999999999991,True,0.429,2.43,0.484,0.43,2.4298,0.484,113121,148336,0.03812479416037312,1901
astronomical,4,-0.0771,-0.1016,-0.0525,0.0491,True,0.48,9021.5,0.7090000000000001,0.48,9018.5,0.7090000000000001,3656,11297,0.013586034282435749,2010
astronomical,1,-0.2759,-0.2815,-0.2703,0.011199999999999988,True,0.8,6520.6,0.845,0.799,6518.7,0.845,3656,4566,0.02812102536897251,1892
ceiling,1,0.015,0.0101,0.0199,0.009800000000000001,True,0.279,74131.0,0.39299999999999996,0.279,74164.0,0.39299999999999996,51498,193244,0.032301533871866205,1985
ceiling,11,0.0895,0.0862,0.0929,0.006699999999999998,True,0.346,77190.0,0.442,0.346,77212.0,0.442,51498,69496,0.04237856582948881,1910
ceiling,2,-0.0404,-0.0433,-0.0376,0.005699999999999997,True,0.422,66613.0,0.506,0.42,66872.0,0.507,51498,59349,1.0272573705632282,1946
ceiling,3,0.0931,0.0875,0.0988,0.011300000000000004,True,0.187,74270.0,0.331,0.186,74294.0,0.332,51498,134112,0.041870604885524264,1968
thrust,5,0.0795,0.0768,0.0822,0.005400000000000002,True,0.493,56842.0,0.591,0.492,56915.0,0.591,19496,94224,0.03704938652125194,1978
thrust,0,0.0057,0.0036,0.0079,0.004300000000000001,True,0.558,53983.0,0.674,0.558,53990.0,0.674,19496,40014,0.0525666892416517,1912
challenges,5,0.2319,0.2297,0.2341,0.004400000000000015,True,0.185,92413.0,0.308,0.184,92457.0,0.308,41695,131636,0.014553104005528736,2010
challenges,0,-0.0271,-0.0333,-0.0209,0.012400000000000005,True,0.472,72610.0,0.505,0.472,72691.0,0.505,41695,45216,0.05330820386131652,1927
challenges,3,0.0833,0.081,0.0857,0.004699999999999996,True,0.15,95028.0,0.28600000000000003,0.149,95109.0,0.28600000000000003,41695,122229,0.05855418117809673,1967
articles,3,0.0812,0.0787,0.0837,0.0049999999999999906,True,0.446,1.9376,0.513,0.446,1.9385,0.513,95919,337624,0.06605127841714367,1893
articles,2,0.1382,0.136,0.1404,0.004399999999999987,True,0.564,1.9586,0.593,0.564,1.9593,0.593,95919,310633,0.04036716692544868,2010
dial,11,-0.6666,-0.6753,-0.6579,0.01739999999999997,True,0.324,16589.0,0.36,0.323,16600.0,0.361,14563,11375,0.36398463299855727,1886
recession,0,-0.0029,-0.0069,0.0012,0.0081,False,0.177,64994.0,0.3,0.176,65017.0,0.3,44318,90034,0.07331531492775847,1875
arraignment,12,0.3659,0.0648,0.6669,0.6021000000000001,True,0.767,2243.0,0.836,0.766,2247.1,0.836,1306,4365,0.10607736403779844,1965
arraignment,0,0.327,0.0048,0.6493,0.6445,True,0.727,2093.5,0.809,0.727,2097.6,0.8109999999999999,1306,2492,0.3700519410399196,1912
receiver,7,0.1522,0.1429,0.1616,0.018699999999999994,True,0.832,6983.0,0.8079999999999999,0.831,6985.9,0.8079999999999999,5953,5707,0.07718920884478306,2010
maneuvering,1,0.1529,0.146,0.1598,0.013800000000000007,True,0.546,6563.3,0.794,0.545,6563.6,0.794,2508,10619,0.0846012334820041,2010
maneuvering,4,0.1009,0.0944,0.1074,0.012999999999999998,True,0.784,3797.1,0.8190000000000001,0.783,3800.6,0.82,2508,1842,0.14543446986037253,1909
target,1,0.0475,0.0402,0.0547,0.014499999999999999,True,0.331,71762.0,0.43700000000000006,0.331,71759.0,0.43700000000000006,41542,60113,0.17389361710146692,1921
target,0,0.1901,0.187,0.1932,0.006200000000000011,True,0.291,1.1352,0.43200000000000005,0.291,1.1355,0.43200000000000005,41542,94491,0.048054242769280525,2010
segregation,2,0.2645,0.2605,0.2685,0.008000000000000007,True,0.276,22590.0,0.47700000000000004,0.276,22591.0,0.47700000000000004,14634,42362,0.07387891016818032,2010
segregation,1,0.0617,0.0582,0.0653,0.007099999999999995,True,0.289,20408.0,0.473,0.287,20449.0,0.474,14634,36214,0.2183483170247351,1953
segregation,0,0.0026,-0.0007,0.0059,0.0066,False,0.594,18432.0,0.645,0.592,18498.0,0.645,14634,24610,0.1737496018342373,1897
lunatic,2,-0.0745,-0.4534,0.3043,0.7577,False,0.64,2683.2,0.8170000000000001,0.64,2680.1,0.8170000000000001,1122,3925,1.012242540836301,1955
rendezvous,14,0.1883,0.024,0.3525,0.32849999999999996,True,0.808,2142.2,0.868,0.807,2151.5,0.8690000000000001,1239,2433,0.4739386040972722,1947
rendezvous,1,0.307,-0.1075,0.7215,0.8290000000000001,False,0.772,2295.4,0.863,0.772,2294.1,0.863,1239,2874,0.07237848439678643,1873
pregnant,2,0.3357,0.3308,0.3406,0.009800000000000031,True,0.343,18317.0,0.521,0.343,18318.0,0.521,11740,33447,0.05416818397686964,1987
pregnant,11,1.0291,1.018,1.0402,0.022199999999999998,True,0.536,15080.0,0.5760000000000001,0.536,15081.0,0.575,11740,15078,0.014107589781071817,1873
pregnant,4,0.2637,0.2593,0.2682,0.008900000000000019,True,0.722,14253.0,0.721,0.722,14260.0,0.721,11740,8950,0.15788634197798876,1945
implicit,6,0.1344,0.1301,0.1386,0.008500000000000008,True,0.439,22818.0,0.652,0.439,22821.0,0.652,7278,25816,0.06565022216379578,1959
implicit,0,0.1111,0.108,0.1142,0.006199999999999997,True,0.388,23316.0,0.645,0.389,23304.0,0.645,7278,20370,0.19291177979120808,1891
implicit,2,0.1745,0.1693,0.1796,0.010300000000000004,True,0.515,16557.0,0.685,0.514,16574.0,0.685,7278,12199,0.18144716009728906,1920
retarded,11,0.1244,0.1212,0.1276,0.006399999999999989,True,0.658,13250.0,0.787,0.652,13337.0,0.787,7347,39610,0.12321784380096928,2010
retarded,4,0.0842,0.0812,0.0872,0.006000000000000005,True,0.819,11148.0,0.879,0.818,11181.0,0.88,7347,17030,0.01258203027498847,1940
receivers,15,0.3663,0.358,0.3746,0.016600000000000004,True,0.566,11265.0,0.7390000000000001,0.565,11270.0,0.7390000000000001,6041,21642,0.0801311632684252,2010
receivers,8,0.2507,0.2432,0.2582,0.014999999999999986,True,0.893,6489.1,0.892,0.893,6490.1,0.893,6041,3885,0.08453791629490222,1979
locator,2,0.1844,-0.0064,0.3752,0.3816,False,0.76,1134.9,0.833,0.759,1133.0,0.833,696,2466,0.04452794787251892,1943
locator,10,-0.0642,-0.2411,0.1128,0.3539,False,0.98,856.07,0.953,0.98,851.64,0.953,696,1789,0.010651805453305588,1988
locator,5,-0.0795,-0.2732,0.1141,0.3873,False,0.99,758.0,0.968,0.99,760.67,0.9690000000000001,696,1098,1.4324407251984554,1970
alienation,1,0.0698,-0.0551,0.1947,0.24980000000000002,False,0.629,4077.7,0.7709999999999999,0.624,4100.1,0.772,1988,5166,0.41417491939736023,1947
alienation,8,0.3079,0.0355,0.5802,0.5447000000000001,True,0.677,4252.2,0.802,0.675,4252.9,0.802,1988,5569,0.04603537511017358,2010
demonstrators,7,0.1858,-0.0208,0.3924,0.4132,False,0.395,3618.3,0.47,0.396,3617.3,0.473,2980,3836,0.5313048060067146,1922
usage,2,0.341,0.3366,0.3455,0.008899999999999963,True,0.727,18775.0,0.799,0.726,18784.0,0.799,9429,36987,0.009907965597314963,2010
usage,0,0.3329,0.3282,0.3376,0.00940000000000002,True,0.525,21976.0,0.705,0.525,21977.0,0.705,9429,28979,0.01278595240237971,1873
usage,5,0.6232,0.6173,0.6291,0.011800000000000033,True,0.603,18251.0,0.74,0.603,18261.0,0.74,9429,13403,0.10240072592045375,1896
appraising,1,0.0343,-0.4337,0.5023,0.9359999999999999,False,0.753,2226.9,0.871,0.753,2222.6,0.871,920,4427,0.06552937994540735,1961
appraising,5,0.0926,-0.3065,0.4917,0.7982,False,0.862,1480.2,0.899,0.862,1475.1,0.899,920,1100,0.26196995796369793,1890
cutoff,4,0.2571,0.254,0.2603,0.006299999999999972,True,0.492,17010.0,0.688,0.492,17015.0,0.688,6856,22471,0.12602384254185053,1952
cutoff,3,0.1442,0.1408,0.1475,0.006699999999999984,True,0.442,16258.0,0.66,0.442,16255.0,0.66,6856,23590,0.025448286509706666,1983
cutoff,1,0.1654,0.1589,0.172,0.013099999999999973,True,0.76,8695.8,0.7659999999999999,0.76,8700.4,0.7659999999999999,6856,3572,0.09760380112690854,1917
subversive,2,0.1967,0.1913,0.2021,0.010800000000000004,True,0.397,16064.0,0.565,0.394,16115.0,0.5660000000000001,9855,41488,0.05562514937243556,1970
subversive,0,0.0455,0.0374,0.0535,0.016099999999999996,True,0.837,11873.0,0.833,0.837,11899.0,0.8340000000000001,9855,9190,0.0529342958535066,1911
forgiveness,5,0.1349,0.1295,0.1402,0.010699999999999987,True,0.476,8538.2,0.675,0.475,8541.7,0.675,5225,13084,0.017166002337407806,2010
forgiveness,0,0.1448,0.138,0.1517,0.01369999999999999,True,0.658,8809.8,0.7829999999999999,0.658,8805.2,0.7829999999999999,5225,12610,0.1348410971675767,1900
folders,2,0.2507,-0.2993,0.8008,1.1000999999999999,False,0.798,596.27,0.872,0.797,592.33,0.872,366,705,0.25970712622120223,1895
